x,y,z,t,u_true,u_pred
5.546875000000000000e-01,4.296875000000000000e-01,6.015625000000000000e-01,0.000000000000000000e+00,1.479803204536437988e+00,9.583600331097841263e-06
5.468750000000000000e-02,9.296875000000000000e-01,1.015625000000000000e-01,0.000000000000000000e+00,1.904817298054695129e-02,1.868394319899380207e-04
3.906250000000000000e-02,1.328125000000000000e-01,9.296875000000000000e-01,0.000000000000000000e+00,1.761966943740844727e-02,4.731409717351198196e-06
5.390625000000000000e-01,6.328125000000000000e-01,4.296875000000000000e-01,0.000000000000000000e+00,1.435174942016601562e+00,1.222182181663811207e-04
7.890625000000000000e-01,3.828125000000000000e-01,1.796875000000000000e-01,0.000000000000000000e+00,4.978390932083129883e-01,2.645778586156666279e-04
2.890625000000000000e-01,8.828125000000000000e-01,6.796875000000000000e-01,0.000000000000000000e+00,3.885927200317382812e-01,-3.916601417586207390e-05
4.140625000000000000e-01,2.578125000000000000e-01,3.046875000000000000e-01,0.000000000000000000e+00,9.251581430435180664e-01,1.817483571358025074e-04
9.140625000000000000e-01,7.578125000000000000e-01,8.046875000000000000e-01,0.000000000000000000e+00,1.716728508472442627e-01,2.755548921413719654e-04
6.640625000000000000e-01,7.812500000000000000e-03,5.546875000000000000e-01,0.000000000000000000e+00,3.410655632615089417e-02,1.706823823042213917e-04
1.640625000000000000e-01,5.078125000000000000e-01,5.468750000000000000e-02,0.000000000000000000e+00,1.365670710802078247e-01,3.749932511709630489e-04
2.265625000000000000e-01,4.453125000000000000e-01,7.421875000000000000e-01,0.000000000000000000e+00,7.556030154228210449e-01,1.762922038324177265e-04
7.265625000000000000e-01,9.453125000000000000e-01,2.421875000000000000e-01,0.000000000000000000e+00,1.447087675333023071e-01,1.359901507385075092e-04
9.765625000000000000e-01,1.953125000000000000e-01,4.921875000000000000e-01,0.000000000000000000e+00,6.864916533231735229e-02,8.855416672304272652e-05
4.765625000000000000e-01,6.953125000000000000e-01,9.921875000000000000e-01,0.000000000000000000e+00,3.243923932313919067e-02,3.081150935031473637e-04
3.515625000000000000e-01,7.031250000000000000e-02,1.171875000000000000e-01,0.000000000000000000e+00,1.141830086708068848e-01,2.114971284754574299e-04
8.515625000000000000e-01,5.703125000000000000e-01,6.171875000000000000e-01,0.000000000000000000e+00,6.635185480117797852e-01,1.342718605883419514e-04
6.015625000000000000e-01,3.203125000000000000e-01,8.671875000000000000e-01,0.000000000000000000e+00,5.270152091979980469e-01,-5.382740346249192953e-05
1.015625000000000000e-01,8.203125000000000000e-01,3.671875000000000000e-01,0.000000000000000000e+00,2.487179338932037354e-01,3.496753633953630924e-04
7.031250000000000000e-02,3.515625000000000000e-01,2.109375000000000000e-01,0.000000000000000000e+00,1.951930075883865356e-01,2.885796711780130863e-04
5.703125000000000000e-01,8.515625000000000000e-01,7.109375000000000000e-01,0.000000000000000000e+00,5.606500506401062012e-01,1.392553967889398336e-04
