x,y,t,u_true,u_pred
5.937500000000000000e-01,1.000000000000000000e+00,8.203125000000000000e-01,-2.609421656529775646e-08,4.255059175193309784e-03
4.062500000000000000e-01,0.000000000000000000e+00,4.843750000000000000e-01,-0.000000000000000000e+00,2.524829469621181488e-04
2.812500000000000000e-01,0.000000000000000000e+00,9.218750000000000000e-01,-0.000000000000000000e+00,-1.214896328747272491e-03
7.187500000000000000e-01,1.000000000000000000e+00,1.621093750000000000e-01,-4.098653860751255706e-08,8.816181682050228119e-03
0.000000000000000000e+00,7.187500000000000000e-01,3.339843750000000000e-01,-0.000000000000000000e+00,3.644038923084735870e-03
1.000000000000000000e+00,2.812500000000000000e-01,2.109375000000000000e-01,6.748356895514007192e-08,-3.127102740108966827e-03
1.000000000000000000e+00,7.812500000000000000e-01,5.859375000000000000e-02,4.761612615311605623e-08,8.600859902799129486e-03
0.000000000000000000e+00,2.187500000000000000e-01,7.714843750000000000e-01,-0.000000000000000000e+00,-6.783725693821907043e-04
2.187500000000000000e-01,1.000000000000000000e+00,6.093750000000000000e-01,2.006985688751683483e-08,2.138442359864711761e-03
7.812500000000000000e-01,0.000000000000000000e+00,6.835937500000000000e-02,-0.000000000000000000e+00,-1.767463237047195435e-02
5.312500000000000000e-01,0.000000000000000000e+00,9.375000000000000000e-02,-0.000000000000000000e+00,-1.231981441378593445e-04
4.687500000000000000e-01,1.000000000000000000e+00,1.542968750000000000e-01,-7.315078676128905499e-08,-7.596397772431373596e-04
0.000000000000000000e+00,4.687500000000000000e-01,8.632812500000000000e-01,0.000000000000000000e+00,1.270086504518985748e-03
1.000000000000000000e+00,5.312500000000000000e-01,5.859375000000000000e-01,-5.409651038235097076e-08,7.416419684886932373e-04
1.000000000000000000e+00,3.125000000000000000e-02,1.210937500000000000e-01,-5.305484940265614568e-09,-4.121084697544574738e-03
0.000000000000000000e+00,9.687500000000000000e-01,2.558593750000000000e-01,0.000000000000000000e+00,-2.029382623732089996e-03
9.687500000000000000e-01,1.000000000000000000e+00,7.851562500000000000e-01,8.117464922463568655e-09,1.741985790431499481e-03
3.125000000000000000e-02,0.000000000000000000e+00,8.417968750000000000e-01,0.000000000000000000e+00,-1.182080246508121490e-03
4.687500000000000000e-02,0.000000000000000000e+00,1.953125000000000000e-01,-0.000000000000000000e+00,-3.092410042881965637e-04
9.531250000000000000e-01,1.000000000000000000e+00,4.492187500000000000e-01,-5.718773898877316242e-09,2.854154445230960846e-03
0.000000000000000000e+00,9.531250000000000000e-01,7.187500000000000000e-01,0.000000000000000000e+00,1.199896447360515594e-03
1.000000000000000000e+00,4.687500000000000000e-02,4.804687500000000000e-01,1.025449769542774447e-08,1.812214031815528870e-03
1.000000000000000000e+00,5.468750000000000000e-01,8.593750000000000000e-01,-7.662766421390188043e-08,1.531793735921382904e-03
0.000000000000000000e+00,4.531250000000000000e-01,3.730468750000000000e-01,-0.000000000000000000e+00,-2.402090467512607574e-03
4.531250000000000000e-01,1.000000000000000000e+00,6.171875000000000000e-01,5.685078008355048951e-08,1.777159981429576874e-03
5.468750000000000000e-01,0.000000000000000000e+00,2.792968750000000000e-01,0.000000000000000000e+00,-4.637193866074085236e-03
7.968750000000000000e-01,0.000000000000000000e+00,6.406250000000000000e-01,-0.000000000000000000e+00,4.486916586756706238e-04
2.031250000000000000e-01,1.000000000000000000e+00,4.746093750000000000e-01,3.217539656930057390e-08,1.342268660664558411e-04
0.000000000000000000e+00,2.031250000000000000e-01,4.042968750000000000e-01,0.000000000000000000e+00,-1.067821867763996124e-03
1.000000000000000000e+00,7.968750000000000000e-01,3.164062500000000000e-01,-4.141418319392187186e-09,4.560733214020729065e-04
1.000000000000000000e+00,2.968750000000000000e-01,7.480468750000000000e-01,1.724478337905566150e-08,1.736088655889034271e-03
0.000000000000000000e+00,7.031250000000000000e-01,8.750000000000000000e-01,0.000000000000000000e+00,1.092015765607357025e-03
7.031250000000000000e-01,1.000000000000000000e+00,5.234375000000000000e-01,2.116857267253635655e-08,-1.357623375952243805e-03
2.968750000000000000e-01,0.000000000000000000e+00,9.726562500000000000e-01,0.000000000000000000e+00,4.407862201333045959e-03
4.218750000000000000e-01,0.000000000000000000e+00,3.398437500000000000e-01,-0.000000000000000000e+00,-3.473450429737567902e-03
5.781250000000000000e-01,1.000000000000000000e+00,5.625000000000000000e-01,-8.395497985702604637e-08,-8.169552311301231384e-04
0.000000000000000000e+00,5.781250000000000000e-01,1.445312500000000000e-01,0.000000000000000000e+00,5.024972371757030487e-03
1.000000000000000000e+00,4.218750000000000000e-01,9.414062500000000000e-01,4.689337984586927632e-08,-2.031074836850166321e-04
1.000000000000000000e+00,9.218750000000000000e-01,9.570312500000000000e-01,-2.295556855713698496e-09,-5.056830123066902161e-04
0.000000000000000000e+00,7.812500000000000000e-02,3.906250000000000000e-03,0.000000000000000000e+00,-4.148516803979873657e-03
7.812500000000000000e-02,1.000000000000000000e+00,9.121093750000000000e-01,2.018525968594531150e-08,-1.933919265866279602e-04
9.218750000000000000e-01,0.000000000000000000e+00,8.730468750000000000e-01,0.000000000000000000e+00,-9.640837088227272034e-04
6.718750000000000000e-01,0.000000000000000000e+00,8.359375000000000000e-01,0.000000000000000000e+00,3.180932253599166870e-05
3.281250000000000000e-01,1.000000000000000000e+00,1.796875000000000000e-01,9.670342748790972109e-09,3.271250519901514053e-03
0.000000000000000000e+00,3.281250000000000000e-01,5.742187500000000000e-01,0.000000000000000000e+00,4.006102681159973145e-04
1.000000000000000000e+00,6.718750000000000000e-01,9.140625000000000000e-01,7.301074589349809685e-08,7.758093997836112976e-04
1.000000000000000000e+00,1.718750000000000000e-01,9.492187500000000000e-01,1.063206056528542831e-08,-9.892927482724189758e-04
0.000000000000000000e+00,8.281250000000000000e-01,3.945312500000000000e-01,0.000000000000000000e+00,-1.064551062881946564e-03
8.281250000000000000e-01,1.000000000000000000e+00,7.343750000000000000e-01,-1.580328934380759165e-08,1.092570833861827850e-03
1.718750000000000000e-01,0.000000000000000000e+00,1.171875000000000000e-02,0.000000000000000000e+00,2.319772168993949890e-02
2.343750000000000000e-01,0.000000000000000000e+00,6.562500000000000000e-01,-0.000000000000000000e+00,3.987131640315055847e-04
7.656250000000000000e-01,1.000000000000000000e+00,7.421875000000000000e-02,5.799788738158895285e-08,5.339375697076320648e-03
0.000000000000000000e+00,7.656250000000000000e-01,5.156250000000000000e-01,-0.000000000000000000e+00,-4.316051490604877472e-03
1.000000000000000000e+00,2.343750000000000000e-01,1.992187500000000000e-01,4.930936725600076898e-08,2.236197702586650848e-03
1.000000000000000000e+00,7.343750000000000000e-01,4.531250000000000000e-01,-1.843214825214545272e-08,1.777586527168750763e-03
