x,t,u_true,u_pred
7.500000000000000000e-01,1.000000000000000000e+00,1.364454813301563263e-02,1.373006682842969894e-02
7.692307829856872559e-01,1.000000000000000000e+00,1.279581710696220398e-02,1.290992554277181625e-02
7.884615659713745117e-01,1.000000000000000000e+00,1.190039515495300293e-02,1.204675342887639999e-02
8.076922893524169922e-01,1.000000000000000000e+00,1.096154935657978058e-02,1.114429254084825516e-02
8.269230723381042480e-01,1.000000000000000000e+00,9.982706978917121887e-03,1.020552683621644974e-02
8.461538553237915039e-01,1.000000000000000000e+00,8.967437781393527985e-03,9.234840981662273407e-03
8.653846383094787598e-01,1.000000000000000000e+00,7.919448427855968475e-03,8.236440829932689667e-03
8.846153616905212402e-01,1.000000000000000000e+00,6.842564791440963745e-03,7.214090786874294281e-03
9.038461446762084961e-01,1.000000000000000000e+00,5.740710534155368805e-03,6.172141991555690765e-03
9.230769276618957520e-01,1.000000000000000000e+00,4.617908503860235214e-03,5.115515552461147308e-03
